Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
A,47163.46,9432.69,3,15,0.7427,4233.6
B,149471.15,29894.23,8,40,0.8826,4233.6
C,38269.23,7653.85,2,10,0.9039,4233.6
D,211250.0,42250.0,10,50,0.998,4233.6
E,93846.15,18769.23,5,25,0.8867,4233.6
F,110480.77,22096.15,6,30,0.8699,4233.6
G,38365.38,7673.08,2,10,0.9062,4233.6
H,142980.77,28596.15,7,35,0.9649,4233.6
I,131057.69,26211.54,7,35,0.8845,4233.6
J,230625.0,46125.0,11,55,0.9905,4233.6
K,29759.62,5951.92,2,10,0.7029,4233.6
L,144519.23,28903.85,7,35,0.9753,4233.6
M,231634.62,46326.92,11,55,0.9948,4233.6
