Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
A,47163.46,11790.87,3,12,0.9284,4233.6
B,149471.15,37367.79,9,36,0.9807,4233.6
C,38269.23,9567.31,3,12,0.7533,4233.6
D,211250.0,52812.5,13,52,0.9596,4233.6
E,93846.15,23461.54,6,24,0.9236,4233.6
F,110480.77,27620.19,7,28,0.932,4233.6
G,38365.38,9591.35,3,12,0.7552,4233.6
H,142980.77,35745.19,9,36,0.9381,4233.6
I,131057.69,32764.42,8,32,0.9674,4233.6
J,230625.0,57656.25,14,56,0.9728,4233.6
K,29759.62,7439.9,2,8,0.8787,4233.6
L,144519.23,36129.81,9,36,0.9482,4233.6
M,231634.62,57908.65,14,56,0.977,4233.6
TOTAL,1599423.07,399855.77,100,400,0.9445,4233.6
