Center_ID,From_Process,To_Process,From_X,From_Y,To_X,To_Y,Flow_Units
1,A,B,-2.3167019636764743,26.411420643494687,3.8407918760145376,16.800794827423584,11410.25641025641
1,A,C,-2.3167019636764743,26.411420643494687,-28.76987760563622,-2.426964178147046,3717.948717948718
1,B,A,3.8407918760145376,16.800794827423584,-2.3167019636764743,26.411420643494687,6987.179487179487
1,B,C,3.8407918760145376,16.800794827423584,-28.76987760563622,-2.426964178147046,10641.02564102564
1,B,D,3.8407918760145376,16.800794827423584,-25.404732606435804,3.9542357737863183,5128.205128205128
1,C,D,-28.76987760563622,-2.426964178147046,-25.404732606435804,3.9542357737863183,18974.358974358973
1,C,I,-28.76987760563622,-2.426964178147046,-17.79895744180858,-2.879135028346337,2051.2820512820513
1,D,C,-25.404732606435804,3.9542357737863183,-28.76987760563622,-2.426964178147046,2051.2820512820513
1,D,G,-25.404732606435804,3.9542357737863183,-2.878118427738973,2.5875687497974185,3076.9230769230767
1,D,H,-25.404732606435804,3.9542357737863183,-20.385148065736214,-12.394810060711169,5064.1025641025635
1,D,I,-25.404732606435804,3.9542357737863183,-17.79895744180858,-2.879135028346337,13910.25641025641
1,E,F,-5.171484801924809,12.162854542554864,-16.457822821119574,12.734107815414113,13846.153846153848
1,E,G,-5.171484801924809,12.162854542554864,-2.878118427738973,2.5875687497974185,12435.897435897436
1,E,H,-5.171484801924809,12.162854542554864,-20.385148065736214,-12.394810060711169,1538.4615384615383
1,F,C,-16.457822821119574,12.734107815414113,-28.76987760563622,-2.426964178147046,4615.384615384616
1,F,G,-16.457822821119574,12.734107815414113,-2.878118427738973,2.5875687497974185,12307.692307692309
1,F,H,-16.457822821119574,12.734107815414113,-20.385148065736214,-12.394810060711169,4743.589743589744
1,F,I,-16.457822821119574,12.734107815414113,-17.79895744180858,-2.879135028346337,4871.794871794872
1,G,E,-2.878118427738973,2.5875687497974185,-5.171484801924809,12.162854542554864,5641.025641025641
1,G,F,-2.878118427738973,2.5875687497974185,-16.457822821119574,12.734107815414113,5769.2307692307695
1,G,H,-2.878118427738973,2.5875687497974185,-20.385148065736214,-12.394810060711169,10769.23076923077
1,G,I,-2.878118427738973,2.5875687497974185,-17.79895744180858,-2.879135028346337,5641.025641025641
1,H,I,-20.385148065736214,-12.394810060711169,-17.79895744180858,-2.879135028346337,6987.179487179487
1,H,J,-20.385148065736214,-12.394810060711169,-13.280446464282155,-11.74232720391305,6025.641025641025
1,I,J,-17.79895744180858,-2.879135028346337,-13.280446464282155,-11.74232720391305,26794.871794871797
1,J,I,-13.280446464282155,-11.74232720391305,-17.79895744180858,-2.879135028346337,1538.4615384615383
1,K,L,-0.7870303590243166,-15.659065076744854,-5.289295066854252,-6.393230706094575,5641.025641025642
1,K,M,-0.7870303590243166,-15.659065076744854,-10.015354612554708,2.0732243391727727,8910.25641025641
1,L,K,-5.289295066854252,-6.393230706094575,-0.7870303590243166,-15.659065076744854,8910.25641025641
1,L,M,-5.289295066854252,-6.393230706094575,-10.015354612554708,2.0732243391727727,15000.0
1,M,L,-10.015354612554708,2.0732243391727727,-5.289295066854252,-6.393230706094575,6666.666666666667
2,A,B,97.68329803632352,26.411420643494687,103.84079187601453,16.800794827423584,11410.25641025641
2,A,C,97.68329803632352,26.411420643494687,71.23012239436378,-2.426964178147046,3717.948717948718
2,B,A,103.84079187601453,16.800794827423584,97.68329803632352,26.411420643494687,6987.179487179487
2,B,C,103.84079187601453,16.800794827423584,71.23012239436378,-2.426964178147046,10641.02564102564
2,B,D,103.84079187601453,16.800794827423584,74.5952673935642,3.9542357737863183,5128.205128205128
2,C,D,71.23012239436378,-2.426964178147046,74.5952673935642,3.9542357737863183,18974.358974358973
2,C,I,71.23012239436378,-2.426964178147046,82.20104255819142,-2.879135028346337,2051.2820512820513
2,D,C,74.5952673935642,3.9542357737863183,71.23012239436378,-2.426964178147046,2051.2820512820513
2,D,G,74.5952673935642,3.9542357737863183,97.12188157226103,2.5875687497974185,3076.9230769230767
2,D,H,74.5952673935642,3.9542357737863183,79.61485193426378,-12.394810060711169,5064.1025641025635
2,D,I,74.5952673935642,3.9542357737863183,82.20104255819142,-2.879135028346337,13910.25641025641
2,E,F,94.8285151980752,12.162854542554864,83.54217717888042,12.734107815414113,13846.153846153848
2,E,G,94.8285151980752,12.162854542554864,97.12188157226103,2.5875687497974185,12435.897435897436
2,E,H,94.8285151980752,12.162854542554864,79.61485193426378,-12.394810060711169,1538.4615384615383
2,F,C,83.54217717888042,12.734107815414113,71.23012239436378,-2.426964178147046,4615.384615384616
2,F,G,83.54217717888042,12.734107815414113,97.12188157226103,2.5875687497974185,12307.692307692309
2,F,H,83.54217717888042,12.734107815414113,79.61485193426378,-12.394810060711169,4743.589743589744
2,F,I,83.54217717888042,12.734107815414113,82.20104255819142,-2.879135028346337,4871.794871794872
2,G,E,97.12188157226103,2.5875687497974185,94.8285151980752,12.162854542554864,5641.025641025641
2,G,F,97.12188157226103,2.5875687497974185,83.54217717888042,12.734107815414113,5769.2307692307695
2,G,H,97.12188157226103,2.5875687497974185,79.61485193426378,-12.394810060711169,10769.23076923077
2,G,I,97.12188157226103,2.5875687497974185,82.20104255819142,-2.879135028346337,5641.025641025641
2,H,I,79.61485193426378,-12.394810060711169,82.20104255819142,-2.879135028346337,6987.179487179487
2,H,J,79.61485193426378,-12.394810060711169,86.71955353571785,-11.74232720391305,6025.641025641025
2,I,J,82.20104255819142,-2.879135028346337,86.71955353571785,-11.74232720391305,26794.871794871797
2,J,I,86.71955353571785,-11.74232720391305,82.20104255819142,-2.879135028346337,1538.4615384615383
2,K,L,99.21296964097569,-15.659065076744854,94.71070493314575,-6.393230706094575,5641.025641025642
2,K,M,99.21296964097569,-15.659065076744854,89.9846453874453,2.0732243391727727,8910.25641025641
2,L,K,94.71070493314575,-6.393230706094575,99.21296964097569,-15.659065076744854,8910.25641025641
2,L,M,94.71070493314575,-6.393230706094575,89.9846453874453,2.0732243391727727,15000.0
2,M,L,89.9846453874453,2.0732243391727727,94.71070493314575,-6.393230706094575,6666.666666666667
3,A,B,-2.3167019636764743,126.4114206434947,3.8407918760145376,116.80079482742359,11410.25641025641
3,A,C,-2.3167019636764743,126.4114206434947,-28.76987760563622,97.57303582185295,3717.948717948718
3,B,A,3.8407918760145376,116.80079482742359,-2.3167019636764743,126.4114206434947,6987.179487179487
3,B,C,3.8407918760145376,116.80079482742359,-28.76987760563622,97.57303582185295,10641.02564102564
3,B,D,3.8407918760145376,116.80079482742359,-25.404732606435804,103.95423577378632,5128.205128205128
3,C,D,-28.76987760563622,97.57303582185295,-25.404732606435804,103.95423577378632,18974.358974358973
3,C,I,-28.76987760563622,97.57303582185295,-17.79895744180858,97.12086497165366,2051.2820512820513
3,D,C,-25.404732606435804,103.95423577378632,-28.76987760563622,97.57303582185295,2051.2820512820513
3,D,G,-25.404732606435804,103.95423577378632,-2.878118427738973,102.58756874979741,3076.9230769230767
3,D,H,-25.404732606435804,103.95423577378632,-20.385148065736214,87.60518993928883,5064.1025641025635
3,D,I,-25.404732606435804,103.95423577378632,-17.79895744180858,97.12086497165366,13910.25641025641
3,E,F,-5.171484801924809,112.16285454255487,-16.457822821119574,112.73410781541412,13846.153846153848
3,E,G,-5.171484801924809,112.16285454255487,-2.878118427738973,102.58756874979741,12435.897435897436
3,E,H,-5.171484801924809,112.16285454255487,-20.385148065736214,87.60518993928883,1538.4615384615383
3,F,C,-16.457822821119574,112.73410781541412,-28.76987760563622,97.57303582185295,4615.384615384616
3,F,G,-16.457822821119574,112.73410781541412,-2.878118427738973,102.58756874979741,12307.692307692309
3,F,H,-16.457822821119574,112.73410781541412,-20.385148065736214,87.60518993928883,4743.589743589744
3,F,I,-16.457822821119574,112.73410781541412,-17.79895744180858,97.12086497165366,4871.794871794872
3,G,E,-2.878118427738973,102.58756874979741,-5.171484801924809,112.16285454255487,5641.025641025641
