Area,X_ft,Y_ft,Width_ft,Height_ft,Rows,Cols,Blocks
B1,0.0,0.0,50.0,110.0,9,4,36
A,55.0,0.0,14.0,110.0,8,1,8
B2,74.0,0.0,50.0,110.0,9,4,36
C,129.0,30.0,14.0,50.0,4,1,4
D,148.0,0.0,26.0,110.0,9,2,18
I,179.0,1.0,42.0,108.0,3,3,9
J,226.0,1.0,84.0,108.0,3,6,18
