Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,9933.333333333334,22733.333333333332,29800.0,68200.0
B,17800.0,40733.333333333336,53400.0,122200.0
C,37700.0,37700.0,113100.0,113100.0
D,41400.0,41400.0,124200.0,124200.0
E,14133.333333333332,67666.66666666667,42400.0,203000.0
F,40866.66666666667,50300.0,122600.00000000001,150900.0
G,64500.0,64500.0,193500.0,193500.0
H,43366.66666666667,30733.333333333336,130100.00000000001,92200.0
I,77066.66666666666,50766.666666666664,231199.99999999997,152300.0
J,67966.66666666666,8200.0,203899.99999999997,24600.0
K,16000.0,29633.333333333332,48000.0,88900.0
L,24133.333333333332,43200.0,72400.0,129600.0
M,43200.0,10500.0,129600.0,31500.0
