,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,17800.0,4933.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,9933.333333333334,0.0,18133.333333333336,12666.666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,28733.333333333336,0.0,0.0,0.0,0.0,8966.666666666666,0.0,0.0,0.0,0.0
D,0.0,0.0,8966.666666666666,0.0,0.0,0.0,3700.0,9100.0,19633.333333333336,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,22066.666666666668,37400.0,8200.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,5666.666666666667,0.0,0.0,0.0,23400.0,8633.333333333334,12600.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,14133.333333333332,18800.0,0.0,17433.333333333336,14133.333333333332,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13533.333333333336,17200.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50766.666666666664,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8200.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13633.333333333332,16000.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,0.0,27200.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,0.0
