Year,From,To,Flow,Center_ID
5,A,B,17800.0,1
5,A,C,4933.333333333333,1
5,B,A,9933.333333333334,1
5,B,C,18133.333333333336,1
5,B,D,12666.666666666666,1
5,C,D,28733.333333333336,1
5,C,I,8966.666666666666,1
5,D,C,8966.666666666666,1
5,D,G,3700.0,1
5,D,H,9100.0,1
5,D,I,19633.333333333336,1
5,E,F,22066.666666666668,1
5,E,G,37400.0,1
5,E,H,8200.0,1
5,F,C,5666.666666666667,1
5,F,G,23400.0,1
5,F,H,8633.333333333334,1
5,F,I,12600.0,1
5,G,E,14133.333333333332,1
5,G,F,18800.0,1
5,G,H,17433.333333333336,1
5,G,I,14133.333333333332,1
5,H,I,13533.333333333336,1
5,H,J,17200.0,1
5,I,J,50766.666666666664,1
5,J,I,8200.0,1
5,K,L,13633.333333333332,1
5,K,M,16000.0,1
5,L,K,16000.0,1
5,L,M,27200.0,1
5,M,L,10500.0,1
