,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,53400.0,14800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,29800.0,0.0,54400.00000000001,38000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,86200.0,0.0,0.0,0.0,0.0,26900.0,0.0,0.0,0.0,0.0
D,0.0,0.0,26900.0,0.0,0.0,0.0,11100.0,27300.0,58900.00000000001,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,66200.0,112200.0,24600.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,17000.0,0.0,0.0,0.0,70200.0,25900.0,37800.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,42400.0,56400.0,0.0,52300.00000000001,42400.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40600.00000000001,51600.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152300.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24600.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40900.0,48000.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48000.0,0.0,81600.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,0.0
