,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,10080.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5700.0,0.0,10060.0,6440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,16480.0,0.0,0.0,0.0,0.0,4280.0,0.0,0.0,0.0,0.0
D,0.0,0.0,4280.0,0.0,0.0,0.0,2160.0,5260.0,11220.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,12480.0,18520.0,3920.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,3380.0,0.0,0.0,0.0,12640.0,4560.0,6560.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,7120.0,9340.0,0.0,9740.0,7120.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7320.0,8840.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27460.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3920.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7220.0,8920.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8920.0,0.0,14840.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5880.0,0.0
