Year,From,To,Flow,Center_ID
4,A,B,10080.0,1
4,A,C,3040.0,1
4,B,A,5700.0,1
4,B,C,10060.0,1
4,B,D,6440.0,1
4,C,D,16480.0,1
4,C,I,4280.0,1
4,D,C,4280.0,1
4,D,G,2160.0,1
4,D,H,5260.0,1
4,D,I,11220.0,1
4,E,F,12480.0,1
4,E,G,18520.0,1
4,E,H,3920.0,1
4,F,C,3380.0,1
4,F,G,12640.0,1
4,F,H,4560.0,1
4,F,I,6560.0,1
4,G,E,7120.0,1
4,G,F,9340.0,1
4,G,H,9740.0,1
4,G,I,7120.0,1
4,H,I,7320.0,1
4,H,J,8840.0,1
4,I,J,27460.0,1
4,J,I,3920.0,1
4,K,L,7220.0,1
4,K,M,8920.0,1
4,L,K,8920.0,1
4,L,M,14840.0,1
4,M,L,5880.0,1
