Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,6987.179487179487,15128.205128205127,20961.53846153846,45384.61538461538
B,11410.25641025641,22756.410256410258,34230.769230769234,68269.23076923078
C,21025.641025641027,21025.641025641024,63076.92307692308,63076.92307692307
D,24102.5641025641,24102.5641025641,72307.69230769231,72307.69230769231
E,5641.025641025641,27820.51282051282,16923.076923076922,83461.53846153847
F,19615.384615384617,26538.461538461543,58846.15384615385,79615.38461538462
G,27820.51282051282,27820.51282051282,83461.53846153847,83461.53846153847
H,22115.384615384617,13012.820512820512,66346.15384615384,39038.46153846153
I,35000.0,26794.871794871797,105000.0,80384.61538461539
J,32820.51282051282,1538.4615384615383,98461.53846153847,4615.384615384615
K,8910.25641025641,14551.28205128205,26730.76923076923,43653.846153846156
L,12307.692307692309,23910.25641025641,36923.07692307692,71730.76923076923
M,23910.25641025641,6666.666666666667,71730.76923076923,20000.0
