process,group,equipment_count,layout_grid,rows,cols,total_spaces,wasted_spaces,machine_width_ft,machine_depth_ft,block_width_ft,block_depth_ft,block_area_sqft,aspect_ratio,utilization,perimeter_ft,optimization_score
A,ABCD,5,2×3,2,3,6,1,14,14,38,26,988,1.5,0.8333,128,218.21
B,ABCD,15,3×5,3,5,15,0,14,14,62,38,2356,1.667,1.0,200,136.89
C,ABCD,5,2×3,2,3,6,1,14,14,38,26,988,1.5,0.8333,128,218.21
D,ABCD,22,4×6,4,6,24,2,14,14,74,50,3700,1.5,0.9167,248,378.67
E,EFG,14,2×7,2,7,14,0,22,15,154,30,4620,3.5,1.0,368,261.2
F,EFG,12,3×4,3,4,12,0,22,15,88,45,3960,1.333,1.0,266,126.27
G,EFG,6,2×3,2,3,6,0,22,15,66,30,1980,1.5,1.0,192,94.8
H,HIJ,16,4×4,4,4,16,0,14,36,56,144,8064,1.0,1.0,400,160.64
I,HIJ,17,3×6,3,6,18,1,14,36,84,108,9072,2.0,0.9444,384,341.83
J,HIJ,27,3×9,3,9,27,0,14,36,126,108,13608,3.0,1.0,468,356.08
K,KLM,4,2×2,2,2,4,0,14,7,27,14,378,1.0,1.0,82,43.78
L,KLM,16,4×4,4,4,16,0,14,7,53,28,1484,1.0,1.0,162,94.84
M,KLM,25,5×5,5,5,25,0,14,7,66,35,2310,1.0,1.0,202,123.1
