process,centroid_x,centroid_y
G,109.0,110.0
I,118.0,179.0
F,120.0,72.5
D,113.0,258.0
E,153.0,35.0
J,223.0,149.0
C,95.0,296.0
H,48.0,92.0
L,178.0,245.5
B,107.0,328.0
M,185.0,273.5
K,128.0,289.5
A,95.0,360.0
