process,x,y,width_ft,depth_ft,centroid_x,centroid_y,area_sqft
G,76,95,66,30,109.0,110.0,1980
I,76,125,84,108,118.0,179.0,9072
F,76,50,88,45,120.0,72.5,3960
D,76,233,74,50,113.0,258.0,3700
E,76,20,154,30,153.0,35.0,4620
J,160,95,126,108,223.0,149.0,13608
C,76,283,38,26,95.0,296.0,988
H,20,20,56,144,48.0,92.0,8064
L,150,233,56,25,178.0,245.5,1400
B,76,309,62,38,107.0,328.0,2356
M,150,258,70,31,185.0,273.5,2170
K,114,283,28,13,128.0,289.5,364
A,76,347,38,26,95.0,360.0,988
