Year,From,To,Flow,Center_ID
3,A,B,9540.0,1
3,A,C,3060.0,1
3,B,A,5460.0,1
3,B,C,9400.0,1
3,B,D,5500.0,1
3,C,D,15840.0,1
3,C,I,3400.0,1
3,D,C,3400.0,1
3,D,G,2100.0,1
3,D,H,5040.0,1
3,D,I,10800.0,1
3,E,F,11980.0,1
3,E,G,15860.0,1
3,E,H,3180.0,1
3,F,C,3380.0,1
3,F,G,11740.0,1
3,F,H,4160.0,1
3,F,I,5780.0,1
3,G,E,6220.0,1
3,G,F,8000.0,1
3,G,H,9260.0,1
3,G,I,6220.0,1
3,H,I,6720.0,1
3,H,J,7780.0,1
3,I,J,25080.0,1
3,J,I,3180.0,1
3,K,L,6460.0,1
3,K,M,8340.0,1
3,L,K,8340.0,1
3,L,M,13660.0,1
3,M,L,5520.0,1
