,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,9540.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5460.0,0.0,9400.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,15840.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0
D,0.0,0.0,3400.0,0.0,0.0,0.0,2100.0,5040.0,10800.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,11980.0,15860.0,3180.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,3380.0,0.0,0.0,0.0,11740.0,4160.0,5780.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,6220.0,8000.0,0.0,9260.0,6220.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6720.0,7780.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25080.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6460.0,8340.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8340.0,0.0,13660.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5520.0,0.0
