Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,5460.0,12600.0,27300.0,63000.0
B,9540.0,20360.0,47700.0,101800.0
C,19240.0,19240.0,96200.0,96200.0
D,21340.0,21340.0,106700.0,106700.0
E,6220.0,31020.0,31100.0,155100.0
F,19980.0,25060.0,99900.0,125300.0
G,29700.0,29700.0,148500.0,148500.0
H,21640.0,14500.0,108200.0,72500.0
I,36100.0,25080.0,180500.0,125400.0
J,32860.0,3180.0,164300.0,15900.0
K,8340.0,14800.0,41700.0,74000.0
L,11980.0,22000.0,59900.0,110000.0
M,22000.0,5520.0,110000.0,27600.0
