Area,X_ft,Y_ft,Width_ft,Height_ft,Rows,Cols,Machines
B1,0.0,6.0,26,86,7,2,14
A,31.0,12.0,14,74,6,1,6
B2,50.0,6.0,26,86,7,2,14
C,81.0,30.0,14,38,3,1,3
D,100.0,6.0,26,86,7,2,14
I,131.0,0.0,36,98,7,1,7
J,172.0,0.0,72,98,7,2,14
