Year,Center_ID,From_Process,To_Process,From_X,From_Y,To_X,To_Y,Flow_Units,Scaling_Factor
2,1,A,B,-2.751530328230475,25.41820363284304,2.8293990753315446,16.663588089449984,22500.0,0.9135002783911397
2,1,A,C,-2.751530328230475,25.41820363284304,-26.399665677733164,-2.279247352582288,7700.0,0.9135002783911397
2,1,B,A,2.8293990753315446,16.663588089449984,-2.751530328230475,25.41820363284304,13050.0,0.9135002783911397
2,1,B,C,2.8293990753315446,16.663588089449984,-26.399665677733164,-2.279247352582288,21850.0,0.9135002783911397
2,1,B,D,2.8293990753315446,16.663588089449984,-23.656297590950693,3.7678056513088687,11400.0,0.9135002783911397
2,1,C,D,-26.399665677733164,-2.279247352582288,-23.656297590950693,3.7678056513088687,38000.0,0.9135002783911397
2,1,C,I,-26.399665677733164,-2.279247352582288,-16.15093181580599,-2.5197669756395515,6300.0,0.9135002783911397
2,1,D,C,-23.656297590950693,3.7678056513088687,-26.399665677733164,-2.279247352582288,6300.0,0.9135002783911397
2,1,D,G,-23.656297590950693,3.7678056513088687,-3.601572686307302,1.9145740456966087,5100.0,0.9135002783911397
2,1,D,H,-23.656297590950693,3.7678056513088687,-18.440950968878216,-10.351386072772703,12050.0,0.9135002783911397
2,1,D,I,-23.656297590950693,3.7678056513088687,-16.15093181580599,-2.5197669756395515,25950.0,0.9135002783911397
2,1,E,F,-2.4179767141444835,8.681128558002872,-13.781249947979783,10.444448212022529,28700.0,0.9135002783911397
2,1,E,G,-2.4179767141444835,8.681128558002872,-3.601572686307302,1.9145740456966087,33000.0,0.9135002783911397
2,1,E,H,-2.4179767141444835,8.681128558002872,-18.440950968878216,-10.351386072772703,6100.0,0.9135002783911397
2,1,F,C,-13.781249947979783,10.444448212022529,-26.399665677733164,-2.279247352582288,8450.0,0.9135002783911397
2,1,F,G,-13.781249947979783,10.444448212022529,-3.601572686307302,1.9145740456966087,27100.0,0.9135002783911397
2,1,F,H,-13.781249947979783,10.444448212022529,-18.440950968878216,-10.351386072772703,9400.0,0.9135002783911397
2,1,F,I,-13.781249947979783,10.444448212022529,-16.15093181580599,-2.5197669756395515,12500.0,0.9135002783911397
2,1,G,E,-3.601572686307302,1.9145740456966087,-2.4179767141444835,8.681128558002872,13300.0,0.9135002783911397
2,1,G,F,-3.601572686307302,1.9145740456966087,-13.781249947979783,10.444448212022529,16650.0,0.9135002783911397
2,1,G,H,-3.601572686307302,1.9145740456966087,-18.440950968878216,-10.351386072772703,21950.0,0.9135002783911397
2,1,G,I,-3.601572686307302,1.9145740456966087,-16.15093181580599,-2.5197669756395515,13300.0,0.9135002783911397
2,1,H,I,-18.440950968878216,-10.351386072772703,-16.15093181580599,-2.5197669756395515,15300.0,0.9135002783911397
2,1,H,J,-18.440950968878216,-10.351386072772703,-12.327813734612318,-11.012024104580629,16800.0,0.9135002783911397
2,1,I,J,-16.15093181580599,-2.5197669756395515,-12.327813734612318,-11.012024104580629,56750.0,0.9135002783911397
2,1,J,I,-12.327813734612318,-11.012024104580629,-16.15093181580599,-2.5197669756395515,6100.0,0.9135002783911397
2,1,K,L,-0.8780710594660897,-13.848249333383434,-4.843470455231208,-5.930537376781764,14250.0,0.9135002783911397
2,1,K,M,-0.8780710594660897,-13.848249333383434,-9.77631031570721,2.097864148682717,19400.0,0.9135002783911397
2,1,L,K,-4.843470455231208,-5.930537376781764,-0.8780710594660897,-13.848249333383434,19400.0,0.9135002783911397
2,1,L,M,-4.843470455231208,-5.930537376781764,-9.77631031570721,2.097864148682717,31200.0,0.9135002783911397
2,1,M,L,-9.77631031570721,2.097864148682717,-4.843470455231208,-5.930537376781764,12900.0,0.9135002783911397
2,2,A,B,88.59849751088349,25.41820363284304,94.17942691444551,16.663588089449984,22500.0,0.9135002783911397
2,2,A,C,88.59849751088349,25.41820363284304,64.9503621613808,-2.279247352582288,7700.0,0.9135002783911397
2,2,B,A,94.17942691444551,16.663588089449984,88.59849751088349,25.41820363284304,13050.0,0.9135002783911397
2,2,B,C,94.17942691444551,16.663588089449984,64.9503621613808,-2.279247352582288,21850.0,0.9135002783911397
2,2,B,D,94.17942691444551,16.663588089449984,67.69373024816326,3.7678056513088687,11400.0,0.9135002783911397
2,2,C,D,64.9503621613808,-2.279247352582288,67.69373024816326,3.7678056513088687,38000.0,0.9135002783911397
2,2,C,I,64.9503621613808,-2.279247352582288,75.19909602330797,-2.5197669756395515,6300.0,0.9135002783911397
2,2,D,C,67.69373024816326,3.7678056513088687,64.9503621613808,-2.279247352582288,6300.0,0.9135002783911397
2,2,D,G,67.69373024816326,3.7678056513088687,87.74845515280666,1.9145740456966087,5100.0,0.9135002783911397
2,2,D,H,67.69373024816326,3.7678056513088687,72.90907687023575,-10.351386072772703,12050.0,0.9135002783911397
2,2,D,I,67.69373024816326,3.7678056513088687,75.19909602330797,-2.5197669756395515,25950.0,0.9135002783911397
2,2,E,F,88.93205112496948,8.681128558002872,77.56877789113418,10.444448212022529,28700.0,0.9135002783911397
2,2,E,G,88.93205112496948,8.681128558002872,87.74845515280666,1.9145740456966087,33000.0,0.9135002783911397
2,2,E,H,88.93205112496948,8.681128558002872,72.90907687023575,-10.351386072772703,6100.0,0.9135002783911397
2,2,F,C,77.56877789113418,10.444448212022529,64.9503621613808,-2.279247352582288,8450.0,0.9135002783911397
2,2,F,G,77.56877789113418,10.444448212022529,87.74845515280666,1.9145740456966087,27100.0,0.9135002783911397
2,2,F,H,77.56877789113418,10.444448212022529,72.90907687023575,-10.351386072772703,9400.0,0.9135002783911397
