Year,From,To,Flow,Center_ID
5,A,B,13350.0,1
5,A,C,3700.0,1
5,B,A,7450.0,1
5,B,C,13600.0,1
5,B,D,9500.0,1
5,C,D,21550.0,1
5,C,I,6725.0,1
5,D,C,6725.0,1
5,D,G,2775.0,1
5,D,H,6825.0,1
5,D,I,14725.0,1
5,E,F,16550.0,1
5,E,G,28050.0,1
5,E,H,6150.0,1
5,F,C,4250.0,1
5,F,G,17550.0,1
5,F,H,6475.0,1
5,F,I,9450.0,1
5,G,E,10600.0,1
5,G,F,14100.0,1
5,G,H,13075.0,1
5,G,I,10600.0,1
5,H,I,10150.0,1
5,H,J,12900.0,1
5,I,J,38075.0,1
5,J,I,6150.0,1
5,K,L,10225.0,1
5,K,M,12000.0,1
5,L,K,12000.0,1
5,L,M,20400.0,1
5,M,L,7875.0,1
