Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,7450.0,17050.0,29800.0,68200.0
B,13350.0,30550.0,53400.0,122200.0
C,28275.0,28275.0,113100.0,113100.0
D,31050.0,31050.0,124200.0,124200.0
E,10600.0,50750.0,42400.0,203000.0
F,30650.0,37725.0,122600.0,150900.0
G,48375.0,48375.0,193500.0,193500.0
H,32525.0,23050.0,130100.0,92200.0
I,57800.0,38075.0,231200.0,152300.0
J,50975.0,6150.0,203900.0,24600.0
K,12000.0,22225.0,48000.0,88900.0
L,18100.0,32400.0,72400.0,129600.0
M,32400.0,7875.0,129600.0,31500.0
