,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,16800.0,5066.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,9500.0,0.0,16766.666666666664,10733.333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,27466.666666666668,0.0,0.0,0.0,0.0,7133.333333333333,0.0,0.0,0.0,0.0
D,0.0,0.0,7133.333333333333,0.0,0.0,0.0,3600.0,8766.666666666668,18700.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,20800.0,30866.666666666668,6533.333333333333,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,5633.333333333333,0.0,0.0,0.0,21066.666666666668,7600.0,10933.333333333334,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,11866.666666666668,15566.666666666668,0.0,16233.333333333334,11866.666666666668,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12200.0,14733.333333333334,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45766.666666666664,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6533.333333333333,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12033.333333333332,14866.666666666668
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14866.666666666668,0.0,24733.333333333332
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9800.0,0.0
