Year,From,To,Flow,Center_ID
4,A,B,16800.0,1
4,A,C,5066.666666666667,1
4,B,A,9500.0,1
4,B,C,16766.666666666664,1
4,B,D,10733.333333333332,1
4,C,D,27466.666666666668,1
4,C,I,7133.333333333333,1
4,D,C,7133.333333333333,1
4,D,G,3600.0,1
4,D,H,8766.666666666668,1
4,D,I,18700.0,1
4,E,F,20800.0,1
4,E,G,30866.666666666668,1
4,E,H,6533.333333333333,1
4,F,C,5633.333333333333,1
4,F,G,21066.666666666668,1
4,F,H,7600.0,1
4,F,I,10933.333333333334,1
4,G,E,11866.666666666668,1
4,G,F,15566.666666666668,1
4,G,H,16233.333333333334,1
4,G,I,11866.666666666668,1
4,H,I,12200.0,1
4,H,J,14733.333333333334,1
4,I,J,45766.666666666664,1
4,J,I,6533.333333333333,1
4,K,L,12033.333333333332,1
4,K,M,14866.666666666668,1
4,L,K,14866.666666666668,1
4,L,M,24733.333333333332,1
4,M,L,9800.0,1
