Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,9500.0,21866.666666666668,28500.0,65600.0
B,16800.0,37000.0,50400.0,111000.0
C,34600.0,34600.0,103800.0,103800.0
D,38200.0,38200.0,114600.0,114600.0
E,11866.666666666668,58200.0,35600.0,174600.0
F,36366.66666666667,45233.333333333336,109100.00000000001,135700.0
G,55533.33333333334,55533.33333333334,166600.00000000003,166600.00000000003
H,39133.333333333336,26933.333333333336,117400.0,80800.0
I,67366.66666666666,45766.666666666664,202099.99999999997,137300.0
J,60500.0,6533.333333333333,181500.0,19600.0
K,14866.666666666668,26900.0,44600.0,80700.0
L,21833.333333333332,39600.0,65500.0,118800.0
M,39600.0,9800.0,118800.0,29400.0
