Part,A,B,C,D,E,F,G,H,I,J,K,L,M,Total_Machines
P1,5,25,3,13,0,0,0,0,7,13,0,0,0,198
P10,0,0,0,0,2,2,0,0,2,3,0,0,0,27
P11,0,0,0,0,5,0,2,0,2,0,0,0,0,27
P12,0,0,0,0,3,3,2,0,3,6,0,0,0,51
P13,0,0,0,0,2,3,1,3,2,0,0,0,0,33
P14,0,0,0,0,5,7,3,8,0,0,0,0,0,69
P15,0,0,0,0,1,1,1,2,0,2,0,0,0,21
P16,0,0,0,0,0,4,0,15,4,8,0,0,0,93
P17,0,0,0,0,0,0,0,0,0,0,1,4,5,30
P18,0,0,0,0,0,0,0,0,0,0,4,4,11,57
P19,0,0,0,0,0,0,0,0,0,0,0,21,30,153
P2,4,0,2,7,0,0,0,3,0,7,0,0,0,69
P20,0,0,0,0,0,0,0,0,0,0,3,7,11,63
P3,0,3,2,5,0,0,0,0,3,4,0,0,0,51
P4,3,5,0,7,0,0,1,3,0,0,0,0,0,57
P5,0,3,2,6,0,0,0,0,3,0,0,0,0,42
P6,1,2,1,3,0,0,0,1,2,3,0,0,0,39
P7,0,0,3,12,4,5,0,0,5,7,0,0,0,108
P8,0,0,0,0,2,0,0,3,2,1,0,0,0,24
P9,0,0,0,0,3,4,3,0,3,7,0,0,0,60
TOTAL,13,38,13,53,27,29,13,38,38,61,8,36,57,1272
TOTAL,26,76,26,106,54,58,26,76,76,122,16,72,114,2544
TOTAL,52,152,52,212,108,116,52,152,152,244,32,144,228,5088
