Area,X_ft,Y_ft,Width_ft,Height_ft,Rows,Cols,Machines
B1,0.0,6.0,26,86,7,2,13
A,26.0,12.0,14,74,6,1,6
B2,40.0,6.0,26,86,7,2,13
C,66.0,30.0,14,38,3,1,3
D,80.0,6.0,26,86,7,2,13
I,106.0,0.0,36,98,7,1,7
J,142.0,0.0,72,98,7,2,13
