from,to,flow,distance_ft,flow_x_distance,distance_travelled_ft,distance_travelled_km
J,E,0.0,72.471,0.0,0.0,0.0
J,G,0.0,82.014,0.0,0.0,0.0
J,F,0.0,104.216,0.0,0.0,0.0
J,H,0.0,97.591,0.0,0.0,0.0
J,J,0.0,0.0,0.0,0.0,0.0
J,K,0.0,130.672,0.0,0.0,0.0
J,L,0.0,151.932,0.0,0.0,0.0
J,M,0.0,120.197,0.0,0.0,0.0
K,A,0.0,152.099,0.0,0.0,0.0
K,B,0.0,149.513,0.0,0.0,0.0
I,M,0.0,85.078,0.0,0.0,0.0
J,A,0.0,126.21,0.0,0.0,0.0
J,B,0.0,103.078,0.0,0.0,0.0
J,C,0.0,81.688,0.0,0.0,0.0
I,E,0.0,114.39,0.0,0.0,0.0
K,G,0.0,86.894,0.0,0.0,0.0
K,F,0.0,132.046,0.0,0.0,0.0
K,E,0.0,125.552,0.0,0.0,0.0
K,D,0.0,117.772,0.0,0.0,0.0
K,C,0.0,151.414,0.0,0.0,0.0
K,K,0.0,0.0,0.0,0.0,0.0
K,H,0.0,33.425,0.0,0.0,0.0
K,I,0.0,77.957,0.0,0.0,0.0
L,C,0.0,169.807,0.0,0.0,0.0
L,D,0.0,135.301,0.0,0.0,0.0
L,E,0.0,143.789,0.0,0.0,0.0
L,F,0.0,147.296,0.0,0.0,0.0
L,G,0.0,104.367,0.0,0.0,0.0
K,J,0.0,130.672,0.0,0.0,0.0
L,A,0.0,166.091,0.0,0.0,0.0
L,B,0.0,165.934,0.0,0.0,0.0
L,J,0.0,151.932,0.0,0.0,0.0
L,I,0.0,96.939,0.0,0.0,0.0
L,H,0.0,54.601,0.0,0.0,0.0
L,L,0.0,0.0,0.0,0.0,0.0
M,B,0.0,159.935,0.0,0.0,0.0
M,C,0.0,157.064,0.0,0.0,0.0
M,D,0.0,126.67,0.0,0.0,0.0
M,A,0.0,166.857,0.0,0.0,0.0
M,E,0.0,101.179,0.0,0.0,0.0
M,F,0.0,104.083,0.0,0.0,0.0
M,H,0.0,36.266,0.0,0.0,0.0
M,G,0.0,61.465,0.0,0.0,0.0
M,I,0.0,85.078,0.0,0.0,0.0
M,J,0.0,120.197,0.0,0.0,0.0
M,K,0.0,29.47,0.0,0.0,0.0
M,M,0.0,0.0,0.0,0.0,0.0
