Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Capacity_per_Equipment
A,47163.461538461546,11790.865384615387,3,12,0.928356118088261,4233.6
B,149471.15384615384,37367.78846153846,9,36,0.9807200717418971,4233.6
C,38269.230769230766,9567.307692307691,3,12,0.7532838634029109,4233.6
D,211250.0,52812.5,13,52,0.95958522297808,4233.6
E,93846.15384615384,23461.53846153846,6,24,0.9236244355291974,4233.6
F,110480.76923076923,27620.19230769231,7,28,0.9320062732052526,4233.6
G,38365.38461538462,9591.346153846154,3,12,0.7551765364265364,4233.6
H,142980.76923076922,35745.192307692305,9,36,0.9381349287103254,4233.6
I,131057.69230769231,32764.423076923078,8,32,0.9673924992005348,4233.6
J,230625.0,57656.25,14,56,0.9727663386783283,4233.6
K,29759.615384615387,7439.903846153847,2,8,0.878673451218094,4233.6
L,144519.23076923078,36129.807692307695,9,36,0.9482291848363277,4233.6
M,231634.61538461538,57908.653846153844,14,56,0.9770248529814854,4233.6
